"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" 54.802607632374 -48.5210344059576 33.8274613027903 -7.13344869374938 -5.69408654967008
"C2" 128.126171219902 51.3716250508409 4.2881945973702 17.9631117359889 15.087087647837
"C3" 118.561282292035 81.5158553850697 -18.1818099936568 28.9644537702558 13.1683835304159
"C4" -116.510445743187 67.2728336081601 23.6444899145555 -9.92064309782665 -16.5300981476974
"C5" 123.026465152466 76.2705780545942 -8.75007150033136 29.1034231425471 12.1778008720487
"C6" -87.9182207906451 -52.4446262003557 -33.0771863513049 15.5562476236909 12.8938787299599
"C7" -135.107863393785 65.5057951761852 -29.8051885428914 -13.1969012418143 19.0838135923373
"C8" 43.4257676013875 -42.9219818699622 1.12956980616545 -5.15217387813025 -14.4775206536974
"C9" 116.389305277609 21.9986214379229 3.95190203064674 1.34215243885247 2.37942156780017
"C10" 67.4565481013178 -7.56160730408466 22.0529881076133 10.2860973719969 -17.7676028545768
"C11" -84.4804598219717 -51.9052650559454 -19.0703605878143 16.0178938470569 12.2926784287715
"C12" 125.456903145005 56.6253047097818 0.0860299182633865 15.3116523037766 9.17319189210818
"C13" 57.3630306851568 -59.2121961338982 52.3599980476653 -13.2119438543938 3.86434840525705
"C14" -102.574253866251 51.4716771212627 3.5542595422806 0.777667262782534 -12.5014746481901
"C15" -135.255821380287 37.8457770660642 1.04139466491454 -9.24954164466662 14.7064236996569
"C16" 119.714704605054 31.0344850819691 -15.97809564899 -10.1145280876308 0.985965584454935
"C17" -120.714151005715 72.8791902990659 -41.1117279567381 -9.20192355243895 8.7824997384272
"C18" -139.095296540797 63.0441703668205 -25.7621433466861 -15.5818936912812 18.7918196904662
"C19" -97.7751977568328 36.8223752235401 -1.82421965897802 6.74355624496189 -8.36035779779273
"C20" -38.4101290719392 -50.563812971956 10.8552823141035 10.3825657158406 -3.95553712527859
"C21" -127.890101001787 1.66006848175177 47.8725110991025 -6.13491643414318 8.83950564666195
"C22" 111.106887918979 28.9106239654194 -8.61559356804077 -1.69337964678245 -1.63280816270317
"C23" 51.1150840204952 -18.1895913077953 4.84029861989959 2.95937220008605 -16.6703716571191
"C24" 60.7915163436718 12.2879968501715 40.1074912098322 16.2471254456799 -13.9572988425713
"C25" 75.5403032080238 -11.4860940612342 16.1492394958993 2.0697337063266 -5.56948219886219
"C26" 54.3416994884963 -24.3855320263992 18.9572420656308 3.7154140353671 -14.5700619663204
"C27" -104.667265823192 26.6068721962795 10.2058847784079 9.56956694560106 -3.36987025672441
"C28" 128.233552709567 27.8728580707566 -14.0262274216376 -11.0735230296891 3.10625268600649
"C29" 57.0169843744165 -32.0078618806294 27.6206598123552 -3.60290030968761 -10.2732700874206
"C30" -118.681061588156 46.1049380873946 -11.5896102564458 1.68684459061555 2.27844099998626
"C31" 126.864449408151 7.03690372601189 22.274531015298 -6.70500725405738 2.41648773498766
"C32" 89.2044884436469 2.10292096369839 22.0216251993589 5.93534051953071 -7.02829879393806
"C33" 19.6814905679504 -78.4955820778067 -38.1657064450837 -6.67783378745113 -7.48756367260062
"C34" 119.138087914398 21.5402879945057 4.36782510899208 -1.75020460958628 2.79500554492618
"C35" -117.853541189915 39.0824694777179 -0.96264037975667 1.67990765000135 1.43502039405309
"C36" -152.867464566401 10.2233796512031 40.6872881526408 -7.97385231591779 33.2576471088709
"C37" 21.2472443548255 -116.037538994982 -14.7672074916733 -24.3894851665458 10.5411655290586
"C38" 78.8090305040808 -6.24359344973849 28.1043031362487 3.90645322798772 -9.34009731001407
"C39" 89.3727284377842 11.2540332744093 17.5559541651232 6.54554737672966 -10.608444512515
"C40" 133.639044163262 22.1833295201723 -6.11285389848093 -15.7081940921886 8.19861871969191
"C41" -102.477686723252 64.0147567543093 -2.81975154922736 -0.871023198078607 -16.4729462855752
"C42" 92.7958843706543 12.6612264880947 -2.10435654784309 1.86716117094892 -13.5046681813861
"C43" -74.0362346541524 -9.38197529054789 7.01507337144025 10.3093763664495 -3.75773824865171
"C44" -98.5669368796501 19.5294475544439 5.46547011204109 10.5579151374039 -4.94397159143727
"C45" 117.714537810358 18.0524072881984 3.69524025100073 -2.48476933828041 -1.46306781021265
"C46" 35.8489731022553 -100.473294377857 22.82145524676 -22.6662787800047 -0.992254834526313
"C47" -102.170544656741 29.4266646518962 4.50965286196695 5.74726439371622 -4.52681307210174
"C48" -112.441922329934 52.3189967434334 -23.7936274301782 1.85574428036983 1.98650651416852
"C49" -114.692939523687 89.187120944446 16.1851046545995 -21.6429271927854 -23.2756958547648
"C50" 7.27726384785912 -53.1006994279595 -34.3508814728729 5.12928267182612 -17.6770921272346
"C51" -41.5672151123061 -30.8649109667829 -1.94426105279594 10.5916792421855 -9.25531089866775
"C52" -106.019511912931 26.6010782861284 9.41915854037799 4.27241471665985 -1.7694732970284
"C53" -108.669695583561 33.708734645829 10.2565684523783 1.25718475265565 -4.7214618845029
"C54" -93.3219242470292 -44.5703483601823 -45.5696837143546 21.1901975676973 18.7433024860393
"C55" 23.7202524230339 -175.130300776485 19.7444509016148 -59.117956254023 44.3822412214525
"C56" 114.6562784281 83.7229006219189 -20.9135955213536 26.6950168979015 8.15766429607184
"C57" 109.383610419755 36.8463620752797 -7.62247966008628 2.48924181258346 -3.52774974133263
"C58" -66.6284276234715 -47.5204020093505 -4.52369140241766 12.7154811696744 4.31533334251879
"C59" -52.4921234969654 -33.5474761334189 -1.78212963370391 13.0234133849808 -5.77728493678304
"C60" -43.7314808525451 -31.6786842068781 1.61110802880502 14.5798376793926 -12.7241540539596
"C61" 54.0150978623463 -26.041096632678 11.5594799897857 -0.544950631842795 -14.7811137059509
"C62" 18.7760367475109 -67.3128626370116 -47.543424881486 -4.26883803316074 -14.4240326153865
"C63" 122.415598027383 25.3343993208924 -9.33879480223941 -10.5501002927517 4.36101666701589
"C64" 85.1671987302218 15.2099540800022 10.5717421260873 9.02646409884723 -13.1379209212409
"C65" -114.380194590862 92.6092097013534 18.1955400185975 -23.5994942925895 -28.5998017716676
"C66" 22.448101899066 -63.5036111631071 -43.2248808657163 -6.77212590368125 -19.3179878140824
"C67" -5.36419172718331 -50.1023698891313 -28.396992864822 8.94152413609476 -12.9413161719148
"C68" -138.537760828169 33.1667106289801 7.9785563403876 -8.78310942818787 12.0961087926539
"C69" 140.041407078159 1.52316346626889 22.3007614070148 -19.5582493091384 9.39717669154728
"C70" 123.290161265455 86.016790779684 -7.45307030671911 36.9086321324625 15.325276122104
"C71" 55.0528736520755 -10.2696522929656 15.4635699583398 6.72073782130383 -19.0981890273232
"C72" 49.2874823071434 -60.5390681018679 20.7510355362614 -8.83812656874505 -7.00890874858633
"C73" -94.5926693253157 -64.0096644376391 -13.6682896993496 17.624087843613 20.3232645642563
"C74" 55.5643056906716 -24.7598456453678 15.9203132567701 -0.801377394953054 -15.2857299897737
"C75" -52.1256556093408 -49.600870243128 22.0922963683744 10.4633976595664 -2.79528651083882
"C76" -140.809281445425 60.0135321667359 -23.6507117523047 -17.6518820059579 22.1329043469254
"C77" 125.941453727063 68.6525131353201 -0.431852706307441 22.0755231097748 13.7536923856836
"C78" -88.5739429669172 -39.3963006310757 -43.840241490374 23.2264902756871 16.3732835938829
"C79" 127.616525090608 43.7018882027805 9.14181768245381 11.4024552867586 6.15888025612665
"C80" -89.771789547494 -36.556671406077 -53.0884016101174 22.4877033844655 16.0067537161674
"C81" -141.693653469392 28.2996587356965 21.1780012914188 -13.8301456940379 21.6359570359567
"C82" -111.272704411943 70.1703370253513 10.0130836081275 -7.38256966952852 -12.4800789710888
"C83" -80.9266974431268 -38.7807371669182 -36.6093394863681 19.261769876803 10.2360704215443
"C84" 70.3337208036443 -1.90975445946877 43.2093340553144 9.56289624918057 -8.02919188980826
"C85" -107.285084569958 22.883285656555 9.79038672321656 -2.17967649070466 -0.288020629607616
"C86" 23.7915108799957 -67.6851571304878 -42.1433534713621 -9.5426390804988 -15.0634486766043
"C87" -100.14388794458 89.1960791869594 -6.00993453031135 -9.28491388476608 -22.5167309006303
"C88" 111.347436353892 24.1463827482946 -2.38888098430963 1.1743248150995 -4.04425577655001
"C89" -145.939933091889 13.2166821409358 59.85906114388 -22.5439799026934 16.6723322972844
"C90" -87.6242379652136 -2.55388691491789 12.2328125114943 7.97631283271555 -3.28900014901125
"C91" -74.1596351650238 -2.0289100298041 1.53386891453696 11.955292719703 -10.388076712822
"C92" 162.934898833812 -19.8253095439202 82.1327998058186 -17.4049071214928 50.9842229283675
"C93" -112.837112586372 16.359060485042 19.6868923502028 3.90630920776213 0.501830519609509
"C94" -48.8139772953863 -40.269072917041 6.65742229144723 13.8599458592405 -5.2804374637824
"C95" -127.401729542563 40.8033260516023 -0.933513660494572 -7.96822897911687 7.47513498516482
"C96" 132.204266853767 51.6831695229532 12.0166718731476 14.3262814508414 14.9041320408294
"C97" 21.7923650245155 -84.8920756641956 -33.0455648701073 -11.8395121347887 -19.3228919655594
